time, pres-kr, pres-hr, pres-hl, pres-kl, cont-kr, cont-hr, cont-hl, cont-kl, elong-kr, elong-hr, elong-hl, elong-kl, force-kr, force-hr, force-hl, force-kl, tau-kr, tau-hr, tau-hl, tau-kl, theta-kr, theta-hr, theta-hl, theta-kl thetad-kr, thetad-hr, thetad-hl, thetad-kl thetadd-kr, thetadd-hr, thetadd-hl, thetadd-kl
0.013,5.6363,5.6363,5.6363,5.6363,0,0,0,0,0.0044907,0.0022454,0.0022454,0.0044907,0.22454,0.11227,0.11227,0.22454,-0.0044907,0.0022454,0.0022454,-0.0044907,1.5732,0.78419,0.78419,1.5732,0.35893,-0.17946,-0.17946,0.35893,27.506,-13.753,-13.753,27.506
0.0135,5.7045,5.7045,5.7045,5.7045,0,0,0,0,0.0048497,0.0024248,0.0024248,0.0048497,0.24248,0.12124,0.12124,0.24248,-0.0048497,0.0024248,0.0024248,-0.0048497,1.5734,0.78409,0.78409,1.5734,0.37268,-0.18634,-0.18634,0.37268,27.495,-13.747,-13.747,27.495
0.014,5.7726,5.7726,5.7726,5.7726,0,0,0,0,0.0052224,0.0026112,0.0026112,0.0052224,0.26112,0.13056,0.13056,0.26112,-0.0052224,0.0026112,0.0026112,-0.0052224,1.5736,0.784,0.784,1.5736,0.38643,-0.19321,-0.19321,0.38643,27.482,-13.741,-13.741,27.482
0.0145,5.8408,5.8408,5.8408,5.8408,0,0,0,0,0.0056088,0.0028044,0.0028044,0.0056088,0.28044,0.14022,0.14022,0.28044,-0.0056088,0.0028044,0.0028044,-0.0056088,1.5738,0.7839,0.7839,1.5738,0.40017,-0.20009,-0.20009,0.40017,27.47,-13.735,-13.735,27.47
0.015,5.9089,5.9089,5.9089,5.9089,0,0,0,0,0.006009,0.0030045,0.0030045,0.006009,0.30045,0.15022,0.15022,0.30045,-0.006009,0.0030045,0.0030045,-0.006009,1.574,0.78379,0.78379,1.574,0.41391,-0.20695,-0.20695,0.41391,27.457,-13.728,-13.728,27.457
0.0155,5.977,5.977,5.977,5.977,0,0,0,0,0.0064229,0.0032114,0.0032114,0.0064229,0.32114,0.16057,0.16057,0.32114,-0.0064229,0.0032114,0.0032114,-0.0064229,1.5742,0.78369,0.78369,1.5742,0.42763,-0.21382,-0.21382,0.42763,27.443,-13.722,-13.722,27.443
0.016,6.0452,6.0452,6.0452,6.0452,0,0,0,0,0.0068505,0.0034252,0.0034252,0.0068505,0.34252,0.17126,0.17126,0.34252,-0.0068505,0.0034252,0.0034252,-0.0068505,1.5744,0.78358,0.78358,1.5744,0.44136,-0.22068,-0.22068,0.44136,27.43,-13.715,-13.715,27.43
0.0165,6.1133,6.1133,6.1133,6.1133,0,0,0,0,0.0072918,0.0036459,0.0036459,0.0072918,0.36459,0.1823,0.1823,0.36459,-0.0072918,0.0036459,0.0036459,-0.0072918,1.5747,0.78346,0.78346,1.5747,0.45507,-0.22754,-0.22754,0.45507,27.415,-13.708,-13.708,27.415
0.017,6.1815,6.1815,6.1815,6.1815,0,0,0,0,0.0077469,0.0038735,0.0038735,0.0077469,0.38735,0.19367,0.19367,0.38735,-0.0077469,0.0038735,0.0038735,-0.0077469,1.5749,0.78334,0.78334,1.5749,0.46878,-0.23439,-0.23439,0.46878,27.401,-13.7,-13.7,27.401
0.0175,6.2496,6.2496,6.2496,6.2496,0,0,0,0,0.0082157,0.0041078,0.0041078,0.0082157,0.41078,0.20539,0.20539,0.41078,-0.0082157,0.0041078,0.0041078,-0.0082157,1.5751,0.78322,0.78322,1.5751,0.48248,-0.24124,-0.24124,0.48248,27.386,-13.693,-13.693,27.386
0.018,6.3177,6.3177,6.3177,6.3177,0,0,0,0,0.0086982,0.0043491,0.0043491,0.0086982,0.43491,0.21745,0.21745,0.43491,-0.0086982,0.0043491,0.0043491,-0.0086982,1.5754,0.7831,0.7831,1.5754,0.49617,-0.24809,-0.24809,0.49617,27.37,-13.685,-13.685,27.37
0.0185,6.3859,6.3859,6.3859,6.3859,0,0,0,0,0.0091943,0.0045972,0.0045972,0.0091943,0.45972,0.22986,0.22986,0.45972,-0.0091943,0.0045972,0.0045972,-0.0091943,1.5756,0.78297,0.78297,1.5756,0.50986,-0.25493,-0.25493,0.50986,27.354,-13.677,-13.677,27.354
0.019,6.454,6.454,6.454,6.454,0,0,0,0,0.0097042,0.0048521,0.0048521,0.0097042,0.48521,0.24261,0.24261,0.48521,-0.0097042,0.0048521,0.0048521,-0.0097042,1.5759,0.78284,0.78284,1.5759,0.52353,-0.26177,-0.26177,0.52353,27.338,-13.669,-13.669,27.338
0.0195,6.5222,6.5222,6.5222,6.5222,0,0,0,0,0.010228,0.0051139,0.0051139,0.010228,0.51139,0.25569,0.25569,0.51139,-0.010228,0.0051139,0.0051139,-0.010228,1.5762,0.78271,0.78271,1.5762,0.5372,-0.2686,-0.2686,0.5372,27.321,-13.661,-13.661,27.321
0.02,6.5903,6.5903,6.5903,6.5903,0,0,0,0,0.010765,0.0053825,0.0053825,0.010765,0.53825,0.26912,0.26912,0.53825,-0.010765,0.0053825,0.0053825,-0.010765,1.5765,0.78257,0.78257,1.5765,0.55086,-0.27543,-0.27543,0.55086,27.304,-13.652,-13.652,27.304
0.0205,6.6584,6.6584,6.6584,6.6584,0,0,0,0,0.011316,0.0056579,0.0056579,0.011316,0.56579,0.2829,0.2829,0.56579,-0.011316,0.0056579,0.0056579,-0.011316,1.5767,0.78243,0.78243,1.5767,0.56451,-0.28226,-0.28226,0.56451,27.286,-13.643,-13.643,27.286
0.021,6.7266,6.7266,6.7266,6.7266,0,0,0,0,0.01188,0.0059402,0.0059402,0.01188,0.59402,0.29701,0.29701,0.59402,-0.01188,0.0059402,0.0059402,-0.01188,1.577,0.78228,0.78228,1.577,0.57816,-0.28908,-0.28908,0.57816,27.268,-13.634,-13.634,27.268
0.0215,6.7947,6.7947,6.7947,6.7947,0,0,0,0,0.012458,0.0062292,0.0062292,0.012458,0.62292,0.31146,0.31146,0.62292,-0.012458,0.0062292,0.0062292,-0.012458,1.5773,0.78214,0.78214,1.5773,0.59179,-0.2959,-0.2959,0.59179,27.25,-13.625,-13.625,27.25
0.022,6.8629,6.8629,6.8629,6.8629,0,0,0,0,0.01305,0.0065251,0.0065251,0.01305,0.65251,0.32626,0.32626,0.65251,-0.01305,0.0065251,0.0065251,-0.01305,1.5776,0.78198,0.78198,1.5776,0.60542,-0.30271,-0.30271,0.60542,27.231,-13.615,-13.615,27.231
0.0225,6.931,6.931,6.931,6.931,0,0,0,0,0.013656,0.0068278,0.0068278,0.013656,0.68278,0.34139,0.34139,0.68278,-0.013656,0.0068278,0.0068278,-0.013656,1.5779,0.78183,0.78183,1.5779,0.61903,-0.30952,-0.30952,0.61903,27.212,-13.606,-13.606,27.212
0.023,6.9991,6.9991,6.9991,6.9991,0,0,0,0,0.014275,0.0071374,0.0071374,0.014275,0.71374,0.35687,0.35687,0.71374,-0.014275,0.0071374,0.0071374,-0.014275,1.5783,0.78167,0.78167,1.5783,0.63264,-0.31632,-0.31632,0.63264,27.192,-13.596,-13.596,27.192
0.0235,7.0673,7.0673,7.0673,7.0673,0,0,0,0,0.014907,0.0074537,0.0074537,0.014907,0.74537,0.37268,0.37268,0.74537,-0.014907,0.0074537,0.0074537,-0.014907,1.5786,0.78151,0.78151,1.5786,0.64623,-0.32312,-0.32312,0.64623,27.172,-13.586,-13.586,27.172
0.024,7.1354,7.1354,7.1354,7.1354,0,0,0,0,0.015554,0.0077768,0.0077768,0.015554,0.77768,0.38884,0.38884,0.77768,-0.015554,0.0077768,0.0077768,-0.015554,1.5789,0.78134,0.78134,1.5789,0.65982,-0.32991,-0.32991,0.65982,27.151,-13.576,-13.576,27.151
0.0245,7.2036,7.2036,7.2036,7.2036,0,0,0,0,0.016213,0.0081067,0.0081067,0.016213,0.81067,0.40534,0.40534,0.81067,-0.016213,0.0081067,0.0081067,-0.016213,1.5792,0.78118,0.78118,1.5792,0.6734,-0.3367,-0.3367,0.6734,27.131,-13.565,-13.565,27.131
0.025,7.2717,7.2717,7.2717,7.2717,0,0,0,0,0.016887,0.0084434,0.0084434,0.016887,0.84434,0.42217,0.42217,0.84434,-0.016887,0.0084434,0.0084434,-0.016887,1.5796,0.781,0.781,1.5796,0.68696,-0.34348,-0.34348,0.68696,27.109,-13.555,-13.555,27.109
0.0255,7.3398,7.3398,7.3398,7.3398,0,0,0,0,0.017574,0.0087869,0.0087869,0.017574,0.87869,0.43934,0.43934,0.87869,-0.017574,0.0087869,0.0087869,-0.017574,1.5799,0.78083,0.78083,1.5799,0.70052,-0.35026,-0.35026,0.70052,27.088,-13.544,-13.544,27.088
0.026,7.408,7.408,7.408,7.408,0,0,0,0,0.018274,0.0091371,0.0091371,0.018274,0.91371,0.45686,0.45686,0.91371,-0.018274,0.0091371,0.0091371,-0.018274,1.5803,0.78065,0.78065,1.5803,0.71406,-0.35703,-0.35703,0.71406,27.065,-13.533,-13.533,27.065
0.0265,7.4761,7.4761,7.4761,7.4761,0,0,0,0,0.018988,0.0094942,0.0094942,0.018988,0.94942,0.47471,0.47471,0.94942,-0.018988,0.0094942,0.0094942,-0.018988,1.5807,0.78047,0.78047,1.5807,0.72759,-0.3638,-0.3638,0.72759,27.043,-13.521,-13.521,27.043
0.027,7.5443,7.5443,7.5443,7.5443,0,0,0,0,0.019716,0.009858,0.009858,0.019716,0.9858,0.4929,0.4929,0.9858,-0.019716,0.009858,0.009858,-0.019716,1.581,0.78028,0.78028,1.581,0.74111,-0.37056,-0.37056,0.74111,27.02,-13.51,-13.51,27.02
