Temperature (C)	Pressure (MPa)	Density (g/ml)	Volume (ml/g)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
23.000	24.650	0.25699	3.8912	174.40	270.32	5.0670	0.78836	1.3402	450.52	0.49347	2.4606e-05	0.040825	supercritical
23.000	24.700	0.25741	3.8849	174.33	270.29	5.0662	0.78842	1.3404	450.81	0.49114	2.4625e-05	0.040860	supercritical
23.000	24.750	0.25783	3.8786	174.26	270.26	5.0654	0.78848	1.3407	451.10	0.48882	2.4644e-05	0.040894	supercritical
23.000	24.800	0.25824	3.8723	174.19	270.22	5.0647	0.78855	1.3409	451.39	0.48650	2.4663e-05	0.040929	supercritical
23.000	24.850	0.25866	3.8661	174.12	270.19	5.0639	0.78861	1.3412	451.68	0.48418	2.4682e-05	0.040964	supercritical
23.000	24.900	0.25908	3.8598	174.05	270.16	5.0631	0.78867	1.3414	451.98	0.48188	2.4701e-05	0.040998	supercritical
23.000	24.950	0.25949	3.8537	173.98	270.13	5.0624	0.78874	1.3417	452.27	0.47957	2.4720e-05	0.041033	supercritical
23.000	25.000	0.25991	3.8475	173.91	270.09	5.0616	0.78880	1.3419	452.56	0.47727	2.4738e-05	0.041068	supercritical
23.000	25.050	0.26032	3.8414	173.84	270.06	5.0609	0.78887	1.3422	452.86	0.47498	2.4757e-05	0.041103	supercritical
23.000	25.100	0.26074	3.8352	173.77	270.03	5.0601	0.78893	1.3424	453.15	0.47269	2.4776e-05	0.041137	supercritical
23.000	25.150	0.26115	3.8292	173.69	270.00	5.0594	0.78899	1.3427	453.44	0.47041	2.4795e-05	0.041172	supercritical
23.000	25.200	0.26157	3.8231	173.62	269.97	5.0586	0.78905	1.3429	453.74	0.46813	2.4814e-05	0.041207	supercritical
23.000	25.250	0.26198	3.8171	173.55	269.94	5.0579	0.78912	1.3431	454.03	0.46586	2.4833e-05	0.041242	supercritical
23.000	25.300	0.26239	3.8111	173.48	269.90	5.0571	0.78918	1.3434	454.32	0.46359	2.4852e-05	0.041276	supercritical
23.000	25.350	0.26280	3.8051	173.41	269.87	5.0564	0.78924	1.3436	454.62	0.46133	2.4871e-05	0.041311	supercritical
23.000	25.400	0.26322	3.7992	173.34	269.84	5.0556	0.78931	1.3439	454.91	0.45907	2.4890e-05	0.041346	supercritical
23.000	25.450	0.26363	3.7932	173.27	269.81	5.0549	0.78937	1.3441	455.21	0.45682	2.4909e-05	0.041381	supercritical
23.000	25.500	0.26404	3.7873	173.20	269.78	5.0541	0.78943	1.3443	455.50	0.45458	2.4928e-05	0.041415	supercritical
23.000	25.550	0.26445	3.7815	173.13	269.75	5.0534	0.78949	1.3446	455.79	0.45233	2.4947e-05	0.041450	supercritical
23.000	25.600	0.26486	3.7756	173.06	269.72	5.0526	0.78956	1.3448	456.09	0.45010	2.4966e-05	0.041485	supercritical
23.000	25.650	0.26527	3.7698	172.99	269.69	5.0519	0.78962	1.3450	456.38	0.44787	2.4985e-05	0.041520	supercritical
23.000	25.700	0.26568	3.7640	172.93	269.66	5.0512	0.78968	1.3452	456.68	0.44564	2.5004e-05	0.041554	supercritical
23.000	25.750	0.26608	3.7582	172.86	269.63	5.0504	0.78974	1.3455	456.97	0.44342	2.5023e-05	0.041589	supercritical
23.000	25.800	0.26649	3.7525	172.79	269.60	5.0497	0.78981	1.3457	457.27	0.44120	2.5042e-05	0.041624	supercritical
23.000	25.850	0.26690	3.7467	172.72	269.57	5.0490	0.78987	1.3459	457.56	0.43899	2.5061e-05	0.041659	supercritical
23.000	25.900	0.26731	3.7410	172.65	269.54	5.0482	0.78993	1.3461	457.86	0.43679	2.5080e-05	0.041694	supercritical
23.000	25.950	0.26771	3.7354	172.58	269.51	5.0475	0.78999	1.3464	458.15	0.43459	2.5099e-05	0.041728	supercritical
23.000	26.000	0.26812	3.7297	172.51	269.48	5.0468	0.79006	1.3466	458.45	0.43239	2.5118e-05	0.041763	supercritical
23.000	26.050	0.26852	3.7241	172.44	269.45	5.0460	0.79012	1.3468	458.75	0.43020	2.5137e-05	0.041798	supercritical
23.000	26.100	0.26893	3.7185	172.37	269.42	5.0453	0.79018	1.3470	459.04	0.42801	2.5156e-05	0.041833	supercritical
23.000	26.150	0.26933	3.7129	172.30	269.40	5.0446	0.79024	1.3473	459.34	0.42583	2.5175e-05	0.041867	supercritical
23.000	26.200	0.26974	3.7073	172.23	269.37	5.0439	0.79030	1.3475	459.63	0.42366	2.5194e-05	0.041902	supercritical
23.000	26.250	0.27014	3.7018	172.17	269.34	5.0431	0.79037	1.3477	459.93	0.42148	2.5213e-05	0.041937	supercritical
23.000	26.300	0.27054	3.6963	172.10	269.31	5.0424	0.79043	1.3479	460.23	0.41932	2.5232e-05	0.041972	supercritical
23.000	26.350	0.27094	3.6908	172.03	269.28	5.0417	0.79049	1.3481	460.52	0.41716	2.5251e-05	0.042006	supercritical
23.000	26.400	0.27135	3.6853	171.96	269.25	5.0410	0.79055	1.3483	460.82	0.41500	2.5270e-05	0.042041	supercritical
23.000	26.450	0.27175	3.6799	171.89	269.23	5.0403	0.79061	1.3485	461.12	0.41285	2.5290e-05	0.042076	supercritical
